Sharp_Connector_60,,,,
Pin,Name,Side,Type,Unit
1,AD7,left,bi,ADR
2,AD6,left,bi,ADR
3,AD5,left,bi,ADR
4,AD4,left,bi,ADR
5,AD3,left,bi,ADR
6,AD2,left,bi,ADR
7,AD1,left,bi,ADR
8,AD0,left,bi,ADR
9,PB0,left,bi,OTHER
10,PC7,left,bi,OTHER
11,VCC,left,pwr,PWR
12,VCC,left,pwr,PWR
13,NC,left,nc,OTHER
14,NC,left,nc,OTHER
15,PV,left,bi,OTHER
16,PU,left,bi,OTHER
17,D7,left,bi,IO
18,D6,left,bi,IO
19,D5,left,bi,IO
20,D4,left,bi,IO
21,D3,left,bi,IO
22,D2,left,bi,IO
23,D1,left,bi,IO
24,D0,left,bi,IO
25,~INHIBIT,left,bi,OTHER
26,~WEX,left,bi,OTHER
27,~CMTIN,left,bi,OTHER
28,W1,left,bi,OTHER
29,CMTOUT,left,bi,OTHER
30,INT,left,bi,OTHER
31,AD8,right,bi,ADR
32,AD9,right,bi,ADR
33,AD10,right,bi,ADR
34,AD11,right,bi,ADR
35,AD12,right,bi,ADR
36,AD13,right,bi,ADR
37,AD14,right,bi,ADR
38,AD15,right,bi,ADR
39,PB1,right,bi,OTHER
40,NC,right,nc,OTHER
41,VCC,right,pwr,PWR
42,VCC,right,pwr,PWR
43,FGND,right,pwr,PWR
44,VBAT,right,pwr,PWR
45,VBAT,right,pwr,PWR
46,VBAT,right,pwr,PWR
47,VBAT,right,pwr,PWR
48,VBAT,right,pwr,PWR
49,NC,right,nc,OTHER
50,BFO,right,pwr,PWR
51,OS,right,bi,OTHER
52,GND,right,pwr,PWR
53,GND,right,pwr,PWR
54,GND,right,pwr,PWR
55,GND,right,pwr,PWR
56,DME0,right,bi,OTHER
57,RW,right,bi,OTHER
58,DME1,right,bi,OTHER
59,ME1,right,bi,OTHER
60,OD,right,bi,OTHER
